,,,start,end
1,,,"-3.693,34.842,0","-8.052733,30.98757,0"
1,,,"-8.137,27.582,0","-8.052733,30.98757,0"
1,,,"-2.517,27.582,0","-8.052733,30.98757,0"
1,,,"-24.908,35.418,0","-33.151512,31.68331,0"
1,,,"-39.278,36.439,0","-33.151512,31.68331,0"
1,,,"-42.669,34.842,0","-33.151512,31.68331,0"
1,,,"-43.868,34.842,0","-33.151512,31.68331,0"
1,,,"-48.563,34.062,0","-33.151512,31.68331,0"
1,,,"-48.563,29.328,0","-33.151512,31.68331,0"
1,,,"-47.788,28.548,0","-33.151512,31.68331,0"
1,,,"-32.763,28.548,0","-33.151512,31.68331,0"
1,,,"-24.908,27.972,0","-33.151512,31.68331,0"
1,,,"-47.788,34.842,0","-33.151512,31.68331,0"
1,,,"-43.848,28.548,0","-33.151512,31.68331,0"
1,,,"-42.669,28.548,0","-33.151512,31.68331,0"
1,,,"-47.247,31.729,4.57","-40.878929,24.653619,4.57"
1,,,"-22.229,12.042,0","-36.12081,11.009619,0"
1,,,"-23.468,12.042,0","-36.12081,11.009619,0"
1,,,"-20.892,10.827,0","-36.12081,11.009619,0"
1,,,"-39.883,10.225,0","-36.12081,11.009619,0"
1,,,"-38.079,12.042,0","-36.12081,11.009619,0"
1,,,"-35.392,12.042,0","-36.12081,11.009619,0"
1,,,"-32.112,12.042,0","-36.12081,11.009619,0"
1,,,"-30.913,12.042,0","-36.12081,11.009619,0"
1,,,"-46.153,12.042,0","-36.12081,11.009619,0"
1,,,"-48.128,10.225,0","-36.12081,11.009619,0"
1,,,"-46.213,10.225,0","-36.12081,11.009619,0"
1,,,"-51.183,11.482,0","-36.12081,11.009619,0"
1,,,"-33.488,30.159,4.57","-38.358625,31.718344,4.57"
1,,,"-42.939,38.456,4.57","-38.358625,31.718344,4.57"
1,,,"-47.247,31.729,4.57","-38.358625,31.718344,4.57"
1,,,"-18.678,43.977,4.57","-13.218816,45.343605,4.57"
1,,,"-12.478,44.982,4.57","-13.218816,45.343605,4.57"
1,,,"-7.112,19.335,0","-8.011654,18.634846,0"
1,,,"-9.352,26.597,0","-8.011654,18.634846,0"
1,,,"-9.352,25.398,0","-8.011654,18.634846,0"
1,,,"-8.137,27.582,0","-8.011654,18.634846,0"
1,,,"-7.518,22.127,0","-8.011654,18.634846,0"
1,,,"-7.518,20.471,0","-8.011654,18.634846,0"
1,,,"-6.518,14.687,0","-8.011654,18.634846,0"
1,,,"-9.352,18.811,0","-8.011654,18.634846,0"
1,,,"-9.352,21.943,0","-8.011654,18.634846,0"
1,,,"-8.137,12.718,0","-8.011654,18.634846,0"
1,,,"-32.763,18.286,4.57","-34.381143,16.815643,4.57"
1,,,"-43.048,15.797,4.57","-34.381143,16.815643,4.57"
1,,,"-40.429,13.642,4.57","-34.381143,16.815643,4.57"
1,,,"-37.663,13.642,4.57","-34.381143,16.815643,4.57"
1,,,"-32.027,13.642,4.57","-34.381143,16.815643,4.57"
1,,,"-29.497,13.642,4.57","-34.381143,16.815643,4.57"
1,,,"-28.298,13.642,4.57","-34.381143,16.815643,4.57"
1,,,"-26.002,14.262,4.57","-34.381143,16.815643,4.57"
1,,,"-42.469,18.286,4.57","-34.381143,16.815643,4.57"
1,,,"-37.782,18.286,4.57","-34.381143,16.815643,4.57"
1,,,"-36.123,18.286,4.57","-34.381143,16.815643,4.57"
1,,,"-27.228,49.922,0","-32.874889,48.775556,0"
1,,,"-32.887,48.088,0","-32.874889,48.775556,0"
1,,,"-27.768,48.088,0","-32.874889,48.775556,0"
1,,,"-22.918,48.088,0","-32.874889,48.775556,0"
1,,,"-21.118,48.707,0","-32.874889,48.775556,0"
1,,,"-31.587,48.088,0","-32.874889,48.775556,0"
1,,,"-40.475,48.512,0","-32.874889,48.775556,0"
1,,,"-12.85,44.052,0","-10.367429,41.196086,0"
1,,,"-10.732,48.216,0","-10.367429,41.196086,0"
1,,,"-10.732,46.231,0","-10.367429,41.196086,0"
1,,,"-12.622,37.058,0","-10.367429,41.196086,0"
1,,,"-23.133,40.722,0","-29.201833,39.5815,0"
1,,,"-24.332,40.722,0","-29.201833,39.5815,0"
1,,,"-28.569,40.722,0","-29.201833,39.5815,0"
1,,,"-29.768,40.722,0","-29.201833,39.5815,0"
1,,,"-36.108,40.722,0","-29.201833,39.5815,0"
1,,,"-34.909,40.722,0","-29.201833,39.5815,0"
1,,,"-34.152,38.888,0","-29.201833,39.5815,0"
1,,,"-30.982,38.888,0","-29.201833,39.5815,0"
1,,,"-29.783,38.888,0","-29.201833,39.5815,0"
1,,,"-49.012,53.202,0","-46.988,49.9023,0"
1,,,"-47.813,53.202,0","-46.988,49.9023,0"
1,,,"-44.613,53.202,0","-46.988,49.9023,0"
1,,,"-40.475,52.642,0","-46.988,49.9023,0"
1,,,"-47.788,44.802,0","-46.988,49.9023,0"
