TRANSITION,weight,Unnamed: 1,Unnamed: 2,start,end
T1,1,SD8,N1,"-3.693,34.842,0","-8.052733,30.98757,0"
T2,1,SD72,N1,"-8.137,27.582,0","-8.052733,30.98757,0"
T3,1,SD75,N1,"-2.517,27.582,0","-8.052733,30.98757,0"
T4,1,SD39,N2,"-24.908,35.418,0","-33.151512,31.68331,0"
T5,1,SD51,N2,"-39.278,36.439,0","-33.151512,31.68331,0"
T6,1,SD52,N2,"-42.669,34.842,0","-33.151512,31.68331,0"
T7,1,SD53,N2,"-43.868,34.842,0","-33.151512,31.68331,0"
T8,1,SD57,N2,"-48.563,34.062,0","-33.151512,31.68331,0"
T9,1,SD58,N2,"-48.563,29.328,0","-33.151512,31.68331,0"
T10,1,SD59,N2,"-47.788,28.548,0","-33.151512,31.68331,0"
T11,1,SD61,N2,"-32.763,28.548,0","-33.151512,31.68331,0"
T12,1,SD117,N2,"-24.908,27.972,0","-33.151512,31.68331,0"
T13,1,SD203,N2,"-47.788,34.842,0","-33.151512,31.68331,0"
T14,1,SD205,N2,"-43.848,28.548,0","-33.151512,31.68331,0"
T15,1,SD206,N2,"-42.669,28.548,0","-33.151512,31.68331,0"
T16,1,SD199,N3,"-47.247,31.729,4.57","-40.878929,24.653619,4.57"
T17,1,SD92,N4,"-22.229,12.042,0","-36.12081,11.009619,0"
T18,1,SD93,N4,"-23.468,12.042,0","-36.12081,11.009619,0"
T19,1,SD95,N4,"-20.892,10.827,0","-36.12081,11.009619,0"
T20,1,SD101,N4,"-39.883,10.225,0","-36.12081,11.009619,0"
T21,1,SD102,N4,"-38.079,12.042,0","-36.12081,11.009619,0"
T22,1,SD103,N4,"-35.392,12.042,0","-36.12081,11.009619,0"
T23,1,SD109,N4,"-32.112,12.042,0","-36.12081,11.009619,0"
T24,1,SD110,N4,"-30.913,12.042,0","-36.12081,11.009619,0"
T25,1,SD112,N4,"-46.153,12.042,0","-36.12081,11.009619,0"
T26,1,SD113,N4,"-48.128,10.225,0","-36.12081,11.009619,0"
T27,1,SD114,N4,"-46.213,10.225,0","-36.12081,11.009619,0"
T28,1,SD230,N4,"-51.183,11.482,0","-36.12081,11.009619,0"
T29,1,SD5,N6,"-33.488,30.159,4.57","-38.358625,31.718344,4.57"
T30,1,SD142,N6,"-42.939,38.456,4.57","-38.358625,31.718344,4.57"
T31,1,SD199,N6,"-47.247,31.729,4.57","-38.358625,31.718344,4.57"
T32,1,SD128,N7,"-18.678,43.977,4.57","-13.218816,45.343605,4.57"
T33,1,SD134,N7,"-12.478,44.982,4.57","-13.218816,45.343605,4.57"
T34,1,SD9,N8,"-7.112,19.335,0","-8.011654,18.634846,0"
T35,1,SD70,N8,"-9.352,26.597,0","-8.011654,18.634846,0"
T36,1,SD71,N8,"-9.352,25.398,0","-8.011654,18.634846,0"
T37,1,SD72,N8,"-8.137,27.582,0","-8.011654,18.634846,0"
T38,1,SD78,N8,"-7.518,22.127,0","-8.011654,18.634846,0"
T39,1,SD79,N8,"-7.518,20.471,0","-8.011654,18.634846,0"
T40,1,SD84,N8,"-6.518,14.687,0","-8.011654,18.634846,0"
T41,1,SD87,N8,"-9.352,18.811,0","-8.011654,18.634846,0"
T42,1,SD88,N8,"-9.352,21.943,0","-8.011654,18.634846,0"
T43,1,SD210,N8,"-8.137,12.718,0","-8.011654,18.634846,0"
T44,1,SD145,N9,"-32.763,18.286,4.57","-34.381143,16.815643,4.57"
T45,1,SD178,N9,"-43.048,15.797,4.57","-34.381143,16.815643,4.57"
T46,1,SD180,N9,"-40.429,13.642,4.57","-34.381143,16.815643,4.57"
T47,1,SD181,N9,"-37.663,13.642,4.57","-34.381143,16.815643,4.57"
T48,1,SD182,N9,"-32.027,13.642,4.57","-34.381143,16.815643,4.57"
T49,1,SD183,N9,"-29.497,13.642,4.57","-34.381143,16.815643,4.57"
T50,1,SD184,N9,"-28.298,13.642,4.57","-34.381143,16.815643,4.57"
T51,1,SD192,N9,"-26.002,14.262,4.57","-34.381143,16.815643,4.57"
T52,1,SD221,N9,"-42.469,18.286,4.57","-34.381143,16.815643,4.57"
T53,1,SD222,N9,"-37.782,18.286,4.57","-34.381143,16.815643,4.57"
T54,1,SD223,N9,"-36.123,18.286,4.57","-34.381143,16.815643,4.57"
T55,1,SD19,N10,"-27.228,49.922,0","-32.874889,48.775556,0"
T56,1,SD21,N10,"-32.887,48.088,0","-32.874889,48.775556,0"
T57,1,SD22,N10,"-27.768,48.088,0","-32.874889,48.775556,0"
T58,1,SD23,N10,"-22.918,48.088,0","-32.874889,48.775556,0"
T59,1,SD24,N10,"-21.118,48.707,0","-32.874889,48.775556,0"
T60,1,SD196,N10,"-31.587,48.088,0","-32.874889,48.775556,0"
T61,1,SD204,N10,"-40.475,48.512,0","-32.874889,48.775556,0"
T62,1,SD2,N11,"-12.85,44.052,0","-10.367429,41.196086,0"
T63,1,SD27,N11,"-10.732,48.216,0","-10.367429,41.196086,0"
T64,1,SD28,N11,"-10.732,46.231,0","-10.367429,41.196086,0"
T65,1,SD34,N11,"-12.622,37.058,0","-10.367429,41.196086,0"
T66,1,SD40,N12,"-23.133,40.722,0","-29.201833,39.5815,0"
T67,1,SD41,N12,"-24.332,40.722,0","-29.201833,39.5815,0"
T68,1,SD43,N12,"-28.569,40.722,0","-29.201833,39.5815,0"
T69,1,SD44,N12,"-29.768,40.722,0","-29.201833,39.5815,0"
T70,1,SD45,N12,"-36.108,40.722,0","-29.201833,39.5815,0"
T71,1,SD46,N12,"-34.909,40.722,0","-29.201833,39.5815,0"
T72,1,SD48,N12,"-34.152,38.888,0","-29.201833,39.5815,0"
T73,1,SD49,N12,"-30.982,38.888,0","-29.201833,39.5815,0"
T74,1,SD50,N12,"-29.783,38.888,0","-29.201833,39.5815,0"
T75,1,SD11,N13,"-49.012,53.202,0","-46.988,49.9023,0"
T76,1,SD12,N13,"-47.813,53.202,0","-46.988,49.9023,0"
T77,1,SD13,N13,"-44.613,53.202,0","-46.988,49.9023,0"
T78,1,SD15,N13,"-40.475,52.642,0","-46.988,49.9023,0"
T79,1,SD54,N13,"-47.788,44.802,0","-46.988,49.9023,0"
T80,1,SD55,N13,"-48.767,45.381,0","-46.988,49.9023,0"
T81,1,SD56,N13,"-46.213,49.132,0","-46.988,49.9023,0"
T82,1,SD77,N14,"-3.112,24.478,0","-2.754696,20.201783,0"
T83,1,SD80,N14,"-5.361,15.902,0","-2.754696,20.201783,0"
T84,1,SD81,N14,"-1.832,14.068,0","-2.754696,20.201783,0"
T85,1,SD82,N14,"-4.388,14.068,0","-2.754696,20.201783,0"
T86,1,SD83,N14,"-5.587,14.068,0","-2.754696,20.201783,0"
T87,1,SD84,N14,"-6.518,14.687,0","-2.754696,20.201783,0"
T88,1,SD85,N15,"-16.618,13.89,0","-18.58013,16.250043,0"
T89,1,SD86,N15,"-17.768,12.118,0","-18.58013,16.250043,0"
T90,1,SD89,N15,"-17.768,15.111,0","-18.58013,16.250043,0"
T91,1,SD90,N15,"-17.768,19.302,0","-18.58013,16.250043,0"
T92,1,SD91,N15,"-19.892,15.911,0","-18.58013,16.250043,0"
T93,1,SD95,N15,"-20.892,10.827,0","-18.58013,16.250043,0"
T94,1,SD194,N15,"-19.892,17.831,0","-18.58013,16.250043,0"
T95,1,SD212,N15,"-19.273,25.745,0","-18.58013,16.250043,0"
T96,1,SD170,N16,"-2.402,13.366,4.57","-8.870143,14.058571,4.57"
T97,1,SD171,N16,"-2.957,12.718,4.57","-8.870143,14.058571,4.57"
T98,1,SD172,N16,"-4.259,12.718,4.57","-8.870143,14.058571,4.57"
T99,1,SD173,N16,"-9.709,14.586,4.57","-8.870143,14.058571,4.57"
T100,1,SD174,N16,"-12.233,14.586,4.57","-8.870143,14.058571,4.57"
T101,1,SD175,N16,"-13.432,14.586,4.57","-8.870143,14.058571,4.57"
T102,1,SD186,N16,"-16.768,13.366,4.57","-8.870143,14.058571,4.57"
T103,1,SD188,N16,"-8.978,12.718,4.57","-8.870143,14.058571,4.57"
T104,1,SD189,N16,"-7.779,12.718,4.57","-8.870143,14.058571,4.57"
T105,1,SD154,N17,"-12.948,23.532,4.57","-7.718875,23.449688,4.57"
T106,1,SD155,N17,"-12.393,22.912,4.57","-7.718875,23.449688,4.57"
T107,1,SD156,N17,"-11.772,24.746,4.57","-7.718875,23.449688,4.57"
T108,1,SD157,N17,"-9.808,22.912,4.57","-7.718875,23.449688,4.57"
T109,1,SD158,N17,"-8.609,22.912,4.57","-7.718875,23.449688,4.57"
T110,1,SD159,N17,"-7.271,24.746,4.57","-7.718875,23.449688,4.57"
T111,1,SD160,N17,"-6.072,24.746,4.57","-7.718875,23.449688,4.57"
T112,1,SD162,N17,"-4.048,21.339,4.57","-7.718875,23.449688,4.57"
T113,1,SD163,N17,"-3.428,22.743,4.57","-7.718875,23.449688,4.57"
T114,1,SD164,N17,"-3.232,24.746,4.57","-7.718875,23.449688,4.57"
T115,1,SD165,N17,"-1.748,24.127,4.57","-7.718875,23.449688,4.57"
T116,1,SD97,N18,"-27.028,7.031,0","-33.65305,4.5675,0"
T117,1,SD100,N18,"-38.317,5.278,0","-33.65305,4.5675,0"
T118,1,SD193,N18,"-36.985,-0.247,0","-33.65305,4.5675,0"
T119,1,SD190,N19,"-14.258,35.812,4.57","-16.913182,33.221182,4.57"
T120,1,SD191,N19,"-18.627,37.136,4.57","-16.913182,33.221182,4.57"
T121,1,SD1,N20,"-38.658,53.448,0","-38.923,51.940632,0"
T122,1,SD14,N20,"-40.475,53.781,0","-38.923,51.940632,0"
T123,1,SD15,N20,"-40.475,52.642,0","-38.923,51.940632,0"
T124,1,SD16,N20,"-37.693,50.837,0","-38.923,51.940632,0"
T125,1,SD227,N20,"-39.378,55.421,0","-38.923,51.940632,0"
T126,1,SD54,N21,"-47.788,44.802,0","-46.027696,42.53887,0"
T127,1,SD201,N21,"-40.475,41.487,0","-46.027696,42.53887,0"
T128,1,SD64,N22,"-36.102,22.668,0","-29.8276,23.890267,0"
T129,1,SD65,N22,"-34.903,22.668,0","-29.8276,23.890267,0"
T130,1,SD66,N22,"-29.762,22.668,0","-29.8276,23.890267,0"
T131,1,SD67,N22,"-28.563,22.668,0","-29.8276,23.890267,0"
T132,1,SD68,N22,"-25.393,22.668,0","-29.8276,23.890267,0"
T133,1,SD207,N22,"-34.152,24.502,0","-29.8276,23.890267,0"
T134,1,SD208,N22,"-32.953,24.502,0","-29.8276,23.890267,0"
