"-20.033,34.347,4.570","-20.033,29.043,4.570","-20.033,29.043,4.570","-19.857,29.043,4.570","-19.857,29.043,4.570","-19.857,28.526,4.570","-19.857,28.526,4.570","-15.083,28.526,4.570","-15.083,28.526,4.570","-15.083,29.043,4.570","-15.083,29.043,4.570","-14.902,29.043,4.570","-14.902,29.043,4.570","-14.902,28.526,4.570","-14.902,28.526,4.570","-11.052,28.526,4.570","-11.052,28.526,4.570","-11.052,29.043,4.570","-11.052,29.043,4.570","-10.891,29.043,4.570","-10.891,29.043,4.570","-10.891,28.548,4.570","-10.891,28.548,4.570","-10.876,28.548,4.570","-10.876,28.548,4.570","-10.876,28.380,4.570","-10.876,28.380,4.570","-9.550,28.380,4.570","-9.550,28.380,4.570","-9.550,28.583,4.570","-9.550,28.583,4.570","-9.478,28.583,4.570","-9.478,28.583,4.570","-9.478,29.043,4.570","-9.478,29.043,4.570","-9.317,29.043,4.570","-9.317,29.043,4.570","-9.317,28.177,4.570","-9.317,28.177,4.570","-9.352,28.177,4.570","-9.352,28.177,4.570","-9.352,27.582,4.570","-9.352,27.582,4.570","-7.518,27.582,4.570","-7.518,27.582,4.570","-7.518,28.177,4.570","-7.518,28.177,4.570","-7.553,28.177,4.570","-7.553,28.177,4.570","-7.553,28.548,4.570","-7.553,28.548,4.570","-7.553,29.043,4.570","-7.553,29.043,4.570","-7.392,29.043,4.570","-7.392,29.043,4.570","-7.392,28.583,4.570","-7.392,28.583,4.570","-7.077,28.583,4.570","-7.077,28.583,4.570","-7.077,28.548,4.570","-7.077,28.548,4.570","-5.432,28.548,4.570","-5.432,28.548,4.570","-5.432,29.043,4.570","-5.432,29.043,4.570","-5.271,29.043,4.570","-5.271,29.043,4.570","-5.271,28.548,4.570","-5.271,28.548,4.570","-5.172,28.548,4.570","-5.172,28.548,4.570","-3.957,28.548,4.570","-3.957,28.548,4.570","-3.858,28.548,4.570","-3.858,28.548,4.570","-3.858,29.043,4.570","-3.858,29.043,4.570","-3.697,29.043,4.570","-3.697,29.043,4.570","-3.697,28.548,4.570","-3.697,28.548,4.570","-3.732,28.548,4.570","-3.732,28.548,4.570","-3.732,27.582,4.570","-3.732,27.582,4.570","-1.898,27.582,4.570","-1.898,27.582,4.570","-1.898,28.322,4.570","-1.898,28.322,4.570","-1.898,28.548,4.570","-1.898,28.548,4.570","-1.933,28.548,4.570","-1.933,28.548,4.570","-1.933,29.043,4.570","-1.933,29.043,4.570","-1.772,29.043,4.570","-1.772,29.043,4.570","-1.772,28.548,4.570","-1.772,28.548,4.570","-0.203,28.548,4.570","-0.203,28.548,4.570","0.246,28.548,4.570","0.246,28.548,4.570","0.246,29.760,4.570","0.246,29.760,4.570","0.246,33.630,4.570","0.246,33.630,4.570","0.246,34.842,4.570","0.246,34.842,4.570","-0.203,34.842,4.570","-0.203,34.842,4.570","-3.016,34.842,4.570","-3.016,34.842,4.570","-3.016,34.347,4.570","-3.016,34.347,4.570","-3.177,34.347,4.570","-3.177,34.347,4.570","-3.177,34.842,4.570","-3.177,34.842,4.570","-4.362,34.842,4.570","-4.362,34.842,4.570","-4.941,34.842,4.570","-4.941,34.842,4.570","-4.941,34.347,4.570","-4.941,34.347,4.570","-5.102,34.347,4.570","-5.102,34.347,4.570","-5.102,34.842,4.570","-5.102,34.842,4.570","-7.077,34.842,4.570","-7.077,34.842,4.570","-7.077,34.807,4.570","-7.077,34.807,4.570","-8.232,34.807,4.570","-8.232,34.807,4.570","-8.232,34.347,4.570","-8.232,34.347,4.570","-8.393,34.347,4.570","-8.393,34.347,4.570","-8.393,34.807,4.570","-8.393,34.807,4.570","-8.393,34.842,4.570","-8.393,34.842,4.570","-9.367,34.842,4.570","-9.367,34.842,4.570","-9.367,34.807,4.570","-9.367,34.807,4.570","-10.703,34.807,4.570","-10.703,34.807,4.570","-10.703,34.842,4.570","-10.703,34.842,4.570","-11.677,34.842,4.570","-11.677,34.842,4.570","-11.677,34.347,4.570","-11.677,34.347,4.570","-11.838,34.347,4.570","-11.838,34.347,4.570","-11.838,34.807,4.570","-11.838,34.807,4.570","-14.902,34.807,4.570","-14.902,34.807,4.570","-14.902,34.347,4.570","-14.902,34.347,4.570","-15.083,34.347,4.570","-15.083,34.347,4.570","-15.083,34.807,4.570","-15.083,34.807,4.570","-19.857,34.807,4.570","-19.857,34.807,4.570","-19.857,34.347,4.570","-19.857,34.347,4.570","-20.033,34.347,4.570"
"-20.033,29.043,4.570","-20.033,34.347,4.570","-20.033,34.347,4.570","-20.033,34.807,4.570","-20.033,34.807,4.570","-24.162,34.807,4.570","-24.162,34.807,4.570","-24.162,34.347,4.570","-24.162,34.347,4.570","-24.343,34.347,4.570","-24.343,34.347,4.570","-24.343,34.807,4.570","-24.343,34.807,4.570","-24.343,34.842,4.570","-24.343,34.842,4.570","-24.343,35.156,4.570","-24.343,35.156,4.570","-24.308,35.156,4.570","-24.308,35.156,4.570","-24.308,35.418,4.570","-24.308,35.418,4.570","-26.142,35.418,4.570","-26.142,35.418,4.570","-26.142,35.213,4.570","-26.142,35.213,4.570","-26.107,35.213,4.570","-26.107,35.213,4.570","-26.107,34.842,4.570","-26.107,34.842,4.570","-26.107,34.807,4.570","-26.107,34.807,4.570","-26.107,34.347,4.570","-26.107,34.347,4.570","-26.288,34.347,4.570","-26.288,34.347,4.570","-26.288,34.807,4.570","-26.288,34.807,4.570","-26.641,34.807,4.570","-26.641,34.807,4.570","-26.641,34.842,4.570","-26.641,34.842,4.570","-27.232,34.842,4.570","-27.232,34.842,4.570","-30.402,34.842,4.570","-30.402,34.842,4.570","-33.347,34.842,4.570","-33.347,34.842,4.570","-33.753,34.842,4.570","-33.753,34.842,4.570","-36.112,34.842,4.570","-36.112,34.842,4.570","-38.658,34.842,4.570","-38.658,34.842,4.570","-38.658,35.362,4.570","-38.658,35.362,4.570","-38.658,36.277,4.570","-38.658,36.277,4.570","-38.658,36.439,4.570","-38.658,36.439,4.570","-40.475,36.439,4.570","-40.475,36.439,4.570","-40.475,35.213,4.570","-40.475,35.213,4.570","-40.475,34.842,4.570","-40.475,34.842,4.570","-40.863,34.842,4.570","-40.863,34.842,4.570","-43.248,34.842,4.570","-43.248,34.842,4.570","-46.592,34.842,4.570","-46.592,34.842,4.570","-46.592,34.807,4.570","-46.592,34.807,4.570","-47.203,34.807,4.570","-47.203,34.807,4.570","-47.203,34.842,4.570","-47.203,34.842,4.570","-48.563,34.842,4.570","-48.563,34.842,4.570","-48.563,33.282,4.570","-48.563,33.282,4.570","-48.023,33.282,4.570","-48.023,33.282,4.570","-48.023,30.108,4.570","-48.023,30.108,4.570","-48.563,30.108,4.570","-48.563,30.108,4.570","-48.563,28.548,4.570","-48.563,28.548,4.570","-47.203,28.548,4.570","-47.203,28.548,4.570","-47.203,28.583,4.570","-47.203,28.583,4.570","-46.557,28.583,4.570","-46.557,28.583,4.570","-46.557,28.548,4.570","-46.557,28.548,4.570","-43.248,28.548,4.570","-43.248,28.548,4.570","-40.860,28.548,4.570","-40.860,28.548,4.570","-40.860,28.583,4.570","-40.860,28.583,4.570","-40.475,28.583,4.570","-40.475,28.583,4.570","-40.475,28.610,4.570","-40.475,28.610,4.570","-40.304,28.610,4.570","-40.304,28.610,4.570","-38.811,28.610,4.570","-38.811,28.610,4.570","-38.658,28.610,4.570","-38.658,28.610,4.570","-38.658,28.548,4.570","-38.658,28.548,4.570","-36.368,28.548,4.570","-36.368,28.548,4.570","-34.192,28.548,4.570","-34.192,28.548,4.570","-34.192,28.353,4.570","-34.192,28.353,4.570","-33.753,28.353,4.570","-33.753,28.353,4.570","-33.753,28.583,4.570","-33.753,28.583,4.570","-33.347,28.583,4.570","-33.347,28.583,4.570","-33.347,28.548,4.570","-33.347,28.548,4.570","-30.402,28.548,4.570","-30.402,28.548,4.570","-27.232,28.548,4.570","-27.232,28.548,4.570","-26.643,28.548,4.570","-26.643,28.548,4.570","-26.643,28.583,4.570","-26.643,28.583,4.570","-26.288,28.583,4.570","-26.288,28.583,4.570","-26.288,29.043,4.570","-26.288,29.043,4.570","-26.107,29.043,4.570","-26.107,29.043,4.570","-26.107,28.548,4.570","-26.107,28.548,4.570","-26.107,28.177,4.570","-26.107,28.177,4.570","-26.142,28.177,4.570","-26.142,28.177,4.570","-26.142,27.972,4.570","-26.142,27.972,4.570","-24.308,27.972,4.570","-24.308,27.972,4.570","-24.308,28.234,4.570","-24.308,28.234,4.570","-24.343,28.234,4.570","-24.343,28.234,4.570","-24.343,29.043,4.570","-24.343,29.043,4.570","-24.162,29.043,4.570","-24.162,29.043,4.570","-24.162,28.526,4.570","-24.162,28.526,4.570","-20.263,28.526,4.570","-20.263,28.526,4.570","-20.033,28.526,4.570","-20.033,28.526,4.570","-20.033,29.043,4.570",,,,
"-38.637,56.253,9.250","-52.013,56.253,9.250","-52.013,56.253,9.250","-52.013,-0.113,9.250","-52.013,-0.113,9.250","-19.947,-0.113,9.250","-19.947,-0.113,9.250","-19.947,9.793,9.250","-19.947,9.793,9.250","-20.010,9.793,9.250","-20.010,9.793,9.250","-20.263,9.793,9.250","-20.263,9.793,9.250","-25.967,9.793,9.250","-25.967,9.793,9.250","-26.643,9.793,9.250","-26.643,9.793,9.250","-28.917,9.793,9.250","-28.917,9.793,9.250","-31.447,9.793,9.250","-31.447,9.793,9.250","-33.347,9.793,9.250","-33.347,9.793,9.250","-34.427,9.793,9.250","-34.427,9.793,9.250","-35.481,9.793,9.250","-35.481,9.793,9.250","-39.056,9.793,9.250","-39.056,9.793,9.250","-40.110,9.793,9.250","-40.110,9.793,9.250","-41.063,9.793,9.250","-41.063,9.793,9.250","-43.048,9.793,9.250","-43.048,9.793,9.250","-46.797,9.793,9.250","-46.797,9.793,9.250","-47.247,9.793,9.250","-47.247,9.793,9.250","-47.247,10.267,9.250","-47.247,10.267,9.250","-47.247,13.565,9.250","-47.247,13.565,9.250","-47.247,14.200,9.250","-47.247,14.200,9.250","-47.247,15.254,9.250","-47.247,15.254,9.250","-47.247,18.847,9.250","-47.247,18.847,9.250","-47.247,21.476,9.250","-47.247,21.476,9.250","-47.247,21.582,9.250","-47.247,21.582,9.250","-47.247,28.211,9.250","-47.247,28.211,9.250","-47.247,28.617,9.250","-47.247,28.617,9.250","-47.247,34.841,9.250","-47.247,34.841,9.250","-47.247,35.247,9.250","-47.247,35.247,9.250","-47.247,38.456,9.250","-47.247,38.456,9.250","-47.247,44.534,9.250","-47.247,44.534,9.250","-47.247,45.017,9.250","-47.247,45.017,9.250","-47.247,46.071,9.250","-47.247,46.071,9.250","-47.247,48.695,9.250","-47.247,48.695,9.250","-47.247,49.749,9.250","-47.247,49.749,9.250","-47.247,50.371,9.250","-47.247,50.371,9.250","-46.797,50.371,9.250","-46.797,50.371,9.250","-43.792,50.371,9.250","-43.792,50.371,9.250","-40.863,50.371,9.250","-40.863,50.371,9.250","-38.637,50.371,9.250","-38.637,50.371,9.250","-38.637,56.253,9.250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-44.022,10.225,4.570","-44.022,10.287,4.570","-44.022,10.287,4.570","-43.869,10.287,4.570","-43.869,10.287,4.570","-42.131,10.287,4.570","-42.131,10.287,4.570","-41.978,10.287,4.570","-41.978,10.287,4.570","-41.978,10.225,4.570","-41.978,10.225,4.570","-40.863,10.225,4.570","-40.863,10.225,4.570","-40.457,10.225,4.570","-40.457,10.225,4.570","-38.758,10.225,4.570","-38.758,10.225,4.570","-38.317,10.225,4.570","-38.317,10.225,4.570","-33.347,10.225,4.570","-33.347,10.225,4.570","-29.152,10.225,4.570","-29.152,10.225,4.570","-27.028,10.225,4.570","-27.028,10.225,4.570","-26.237,10.225,4.570","-26.237,10.225,4.570","-24.282,10.225,4.570","-24.282,10.225,4.570","-24.282,10.287,4.570","-24.282,10.287,4.570","-24.129,10.287,4.570","-24.129,10.287,4.570","-22.601,10.287,4.570","-22.601,10.287,4.570","-22.448,10.287,4.570","-22.448,10.287,4.570","-22.448,10.225,4.570","-22.448,10.225,4.570","-20.892,10.225,4.570","-20.892,10.225,4.570","-20.892,12.042,4.570","-20.892,12.042,4.570","-22.848,12.042,4.570","-22.848,12.042,4.570","-25.838,12.042,4.570","-25.838,12.042,4.570","-31.532,12.042,4.570","-31.532,12.042,4.570","-34.812,12.042,4.570","-34.812,12.042,4.570","-36.629,12.042,4.570","-36.629,12.042,4.570","-36.841,12.042,4.570","-36.841,12.042,4.570","-38.658,12.042,4.570","-38.658,12.042,4.570","-38.658,11.980,4.570","-38.658,11.980,4.570","-38.811,11.980,4.570","-38.811,11.980,4.570","-40.339,11.980,4.570","-40.339,11.980,4.570","-40.492,11.980,4.570","-40.492,11.980,4.570","-40.492,12.042,4.570","-40.492,12.042,4.570","-43.177,12.042,4.570","-43.177,12.042,4.570","-43.416,12.042,4.570","-43.416,12.042,4.570","-46.832,12.042,4.570","-46.832,12.042,4.570","-47.015,12.042,4.570","-47.015,12.042,4.570","-51.183,12.042,4.570","-51.183,12.042,4.570","-51.183,10.225,4.570","-51.183,10.225,4.570","-47.388,10.225,4.570","-47.388,10.225,4.570","-46.797,10.225,4.570","-46.797,10.225,4.570","-44.022,10.225,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-15.097,35.851,14.000","-15.097,35.897,14.000","-15.097,35.897,14.000","-13.620,35.897,14.000","-13.620,35.897,14.000","0.113,35.897,14.000","0.113,35.897,14.000","0.113,50.203,14.000","0.113,50.203,14.000","-35.397,50.203,14.000","-35.397,50.203,14.000","-35.397,56.253,14.000","-35.397,56.253,14.000","-38.503,56.253,14.000","-38.503,56.253,14.000","-38.503,50.237,14.000","-38.503,50.237,14.000","-47.113,50.237,14.000","-47.113,50.237,14.000","-47.113,9.927,14.000","-47.113,9.927,14.000","0.113,9.927,14.000","0.113,9.927,14.000","0.113,27.493,14.000","0.113,27.493,14.000","-13.620,27.493,14.000","-13.620,27.493,14.000","-15.097,27.493,14.000","-15.097,27.493,14.000","-15.097,27.540,14.000","-15.097,27.540,14.000","-15.365,27.540,14.000","-15.365,27.540,14.000","-20.424,27.540,14.000","-20.424,27.540,14.000","-21.620,27.540,14.000","-21.620,27.540,14.000","-21.620,35.851,14.000","-21.620,35.851,14.000","-20.424,35.851,14.000","-20.424,35.851,14.000","-15.365,35.851,14.000","-15.365,35.851,14.000","-15.097,35.851,14.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-47.247,28.211,9.250","-47.247,21.582,9.250","-47.247,21.582,9.250","-33.488,21.582,9.250","-33.488,21.582,9.250","-33.488,28.126,9.250","-33.488,28.126,9.250","-33.535,28.126,9.250","-33.535,28.126,9.250","-33.753,28.126,9.250","-33.753,28.126,9.250","-34.193,28.126,9.250","-34.193,28.126,9.250","-34.193,28.387,9.250","-34.193,28.387,9.250","-33.753,28.387,9.250","-33.753,28.387,9.250","-33.753,28.617,9.250","-33.753,28.617,9.250","-33.535,28.617,9.250","-33.535,28.617,9.250","-33.488,28.617,9.250","-33.488,28.617,9.250","-33.488,29.244,9.250","-33.488,29.244,9.250","-33.488,31.074,9.250","-33.488,31.074,9.250","-33.488,34.841,9.250","-33.488,34.841,9.250","-33.535,34.841,9.250","-33.535,34.841,9.250","-33.753,34.841,9.250","-33.753,34.841,9.250","-33.753,35.247,9.250","-33.753,35.247,9.250","-33.535,35.247,9.250","-33.535,35.247,9.250","-33.488,35.247,9.250","-33.488,35.247,9.250","-33.488,38.456,9.250","-33.488,38.456,9.250","-33.535,38.456,9.250","-33.535,38.456,9.250","-40.538,38.456,9.250","-40.538,38.456,9.250","-43.538,38.456,9.250","-43.538,38.456,9.250","-47.247,38.456,9.250","-47.247,38.456,9.250","-47.247,35.247,9.250","-47.247,35.247,9.250","-46.797,35.247,9.250","-46.797,35.247,9.250","-46.797,34.841,9.250","-46.797,34.841,9.250","-47.247,34.841,9.250","-47.247,34.841,9.250","-47.247,28.617,9.250","-47.247,28.617,9.250","-46.797,28.617,9.250","-46.797,28.617,9.250","-46.797,28.211,9.250","-46.797,28.211,9.250","-47.247,28.211,9.250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-17.125,44.982,9.250","-17.125,45.044,9.250","-17.125,45.044,9.250","-15.446,45.044,9.250","-15.446,45.044,9.250","-15.293,45.044,9.250","-15.293,45.044,9.250","-15.293,45.017,9.250","-15.293,45.017,9.250","-14.677,45.017,9.250","-14.677,45.017,9.250","-14.677,44.982,9.250","-14.677,44.982,9.250","-11.922,44.982,9.250","-11.922,44.982,9.250","-11.858,44.982,9.250","-11.858,44.982,9.250","-11.858,45.044,9.250","-11.858,45.044,9.250","-11.705,45.044,9.250","-11.705,45.044,9.250","-10.815,45.044,9.250","-10.815,45.044,9.250","-10.815,44.982,9.250","-10.815,44.982,9.250","-10.442,44.982,9.250","-10.442,44.982,9.250","-8.192,44.982,9.250","-8.192,44.982,9.250","-8.192,44.757,9.250","-8.192,44.757,9.250","-7.753,44.757,9.250","-7.753,44.757,9.250","-7.753,45.017,9.250","-7.753,45.017,9.250","-7.483,45.017,9.250","-7.483,45.017,9.250","-7.077,45.017,9.250","-7.077,45.017,9.250","-7.077,44.982,9.250","-7.077,44.982,9.250","-5.980,44.982,9.250","-5.980,44.982,9.250","-5.980,46.816,9.250","-5.980,46.816,9.250","-7.618,46.816,9.250","-7.618,46.816,9.250","-10.988,46.816,9.250","-10.988,46.816,9.250","-11.116,46.816,9.250","-11.116,46.816,9.250","-14.398,46.816,9.250","-14.398,46.816,9.250","-14.526,46.816,9.250","-14.526,46.816,9.250","-17.808,46.816,9.250","-17.808,46.816,9.250","-17.936,46.816,9.250","-17.936,46.816,9.250","-19.830,46.816,9.250","-19.830,46.816,9.250","-19.830,45.135,9.250","-19.830,45.135,9.250","-19.830,44.982,9.250","-19.830,44.982,9.250","-19.857,44.982,9.250","-19.857,44.982,9.250","-19.857,43.977,9.250","-19.857,43.977,9.250","-18.067,43.977,9.250","-18.067,43.977,9.250","-18.058,43.977,9.250","-18.058,43.977,9.250","-18.058,44.982,9.250","-18.058,44.982,9.250","-17.125,44.982,9.250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-9.290,14.399,4.570","-9.290,12.718,4.570","-9.290,12.718,4.570","-8.852,12.718,4.570","-8.852,12.718,4.570","-7.518,12.718,4.570","-7.518,12.718,4.570","-7.518,14.068,4.570","-7.518,14.068,4.570","-6.518,14.068,4.570","-6.518,14.068,4.570","-6.518,15.902,4.570","-6.518,15.902,4.570","-7.284,15.902,4.570","-7.284,15.902,4.570","-7.496,15.902,4.570","-7.496,15.902,4.570","-7.496,18.003,4.570","-7.496,18.003,4.570","-7.553,18.003,4.570","-7.553,18.003,4.570","-7.553,18.407,4.570","-7.553,18.407,4.570","-7.553,18.813,4.570","-7.553,18.813,4.570","-7.112,18.813,4.570","-7.112,18.813,4.570","-7.112,19.892,4.570","-7.112,19.892,4.570","-7.518,19.892,4.570","-7.518,19.892,4.570","-7.518,21.508,4.570","-7.518,21.508,4.570","-7.518,23.422,4.570","-7.518,23.422,4.570","-7.518,26.002,4.570","-7.518,26.002,4.570","-7.518,27.582,4.570","-7.518,27.582,4.570","-9.352,27.582,4.570","-9.352,27.582,4.570","-9.352,25.978,4.570","-9.352,25.978,4.570","-9.352,23.562,4.570","-9.352,23.562,4.570","-9.352,19.548,4.570","-9.352,19.548,4.570","-9.352,14.552,4.570","-9.352,14.552,4.570","-9.290,14.552,4.570","-9.290,14.552,4.570","-9.290,14.399,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-43.048,13.642,9.250","-42.216,13.642,9.250","-42.216,13.642,9.250","-41.028,13.642,9.250","-41.028,13.642,9.250","-38.282,13.642,9.250","-38.282,13.642,9.250","-34.392,13.642,9.250","-34.392,13.642,9.250","-31.447,13.642,9.250","-31.447,13.642,9.250","-30.973,13.642,9.250","-30.973,13.642,9.250","-28.917,13.642,9.250","-28.917,13.642,9.250","-26.002,13.642,9.250","-26.002,13.642,9.250","-26.002,14.852,9.250","-26.002,14.852,9.250","-26.002,18.441,9.250","-26.002,18.441,9.250","-26.643,18.441,9.250","-26.643,18.441,9.250","-26.643,19.222,9.250","-26.643,19.222,9.250","-26.643,19.382,9.250","-26.643,19.382,9.250","-31.610,19.382,9.250","-31.610,19.382,9.250","-31.738,19.382,9.250","-31.738,19.382,9.250","-31.738,18.286,9.250","-31.738,18.286,9.250","-33.347,18.286,9.250","-33.347,18.286,9.250","-33.347,18.251,9.250","-33.347,18.251,9.250","-33.753,18.251,9.250","-33.753,18.251,9.250","-33.753,18.286,9.250","-33.753,18.286,9.250","-37.202,18.286,9.250","-37.202,18.286,9.250","-40.062,18.286,9.250","-40.062,18.286,9.250","-40.062,18.251,9.250","-40.062,18.251,9.250","-40.863,18.251,9.250","-40.863,18.251,9.250","-40.863,18.286,9.250","-40.863,18.286,9.250","-43.048,18.286,9.250","-43.048,18.286,9.250","-43.048,17.952,9.250","-43.048,17.952,9.250","-43.048,13.642,9.250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-31.509,49.860,4.570","-31.662,49.860,4.570","-31.662,49.860,4.570","-31.662,49.922,4.570","-31.662,49.922,4.570","-33.347,49.922,4.570","-33.347,49.922,4.570","-33.347,49.887,4.570","-33.347,49.887,4.570","-37.757,49.887,4.570","-37.757,49.887,4.570","-38.171,49.887,4.570","-38.171,49.887,4.570","-38.693,49.887,4.570","-38.693,49.887,4.570","-38.693,49.860,4.570","-38.693,49.860,4.570","-38.846,49.860,4.570","-38.846,49.860,4.570","-40.440,49.860,4.570","-40.440,49.860,4.570","-40.440,49.097,4.570","-40.440,49.097,4.570","-40.475,49.097,4.570","-40.475,49.097,4.570","-40.475,44.983,4.570","-40.475,44.983,4.570","-40.475,44.830,4.570","-40.475,44.830,4.570","-38.811,44.830,4.570","-38.811,44.830,4.570","-38.720,44.830,4.570","-38.720,44.830,4.570","-38.720,44.921,4.570","-38.720,44.921,4.570","-38.720,48.150,4.570","-38.720,48.150,4.570","-35.353,48.150,4.570","-35.353,48.150,4.570","-35.215,48.150,4.570","-35.215,48.150,4.570","-35.215,48.088,4.570","-35.215,48.088,4.570","-32.287,48.088,4.570","-32.287,48.088,4.570","-30.987,48.088,4.570","-30.987,48.088,4.570","-23.537,48.088,4.570","-23.537,48.088,4.570","-21.118,48.088,4.570","-21.118,48.088,4.570","-21.118,49.870,4.570","-21.118,49.870,4.570","-21.153,49.870,4.570","-21.153,49.870,4.570","-21.153,50.336,4.570","-21.153,50.336,4.570","-26.237,50.336,4.570","-26.237,50.336,4.570","-26.237,49.887,4.570","-26.237,49.887,4.570","-26.643,49.887,4.570","-26.643,49.887,4.570","-26.643,49.922,4.570","-26.643,49.922,4.570","-29.828,49.922,4.570","-29.828,49.922,4.570","-29.828,49.860,4.570","-29.828,49.860,4.570","-29.981,49.860,4.570","-29.981,49.860,4.570","-31.509,49.860,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
