N1,C1,"-8.052733,30.98757,0"
N2,C2,"-33.151512,31.68331,0"
N3,C3,"-40.878929,24.653619,4.57"
N4,C4,"-36.12081,11.009619,0"
N5,C5,"-20.182727,35.317,9.25"
N6,C6,"-38.358625,31.718344,4.57"
N7,C7,"-13.218816,45.343605,4.57"
N8,C8,"-8.011654,18.634846,0"
N9,C9,"-34.381143,16.815643,4.57"
N10,C10,"-32.874889,48.775556,0"
N11,C11,"-10.367429,41.196086,0"
N12,C12,"-29.201833,39.5815,0"
N13,C13,"-46.988,49.9023,0"
N14,C14,"-2.754696,20.201783,0"
N15,C15,"-18.58013,16.250043,0"
N16,C16,"-8.870143,14.058571,4.57"
N17,C17,"-7.718875,23.449688,4.57"
N18,C18,"-33.65305,4.5675,0"
N19,C19,"-16.913182,33.221182,4.57"
N20,C20,"-38.923,51.940632,0"
N21,C21,"-46.027696,42.53887,0"
N22,C22,"-29.8276,23.890267,0"
N23,C23,"-18.96581,16.334762,4.57"
N24,C24,"-49.61719,6.209429,0"
N25,C25,"-13.247158,40.047,4.57"
N26,C26,"-32.295938,45.570625,4.57"
N27,C27,"-3.646385,43.071308,0"
N28,C28,"-32.497727,25.710364,4.57"
N29,C29,"-19.432133,47.098467,0"
N30,C30,"-45.633222,20.826556,0"
N31,C31,"-39.475875,22.02,0"
N32,C32,"-23.700182,45.648909,4.57"
N33,C33,"-45.267125,44.341,4.57"
N34,C34,"-5.44175,42.380188,4.57"
N35,C35,"-28.042235,41.716765,4.57"
N36,C36,"-39.35925,39.824313,0"
N37,C37,"-32.299824,38.999941,4.57"
N38,C38,"-27.755333,16.959667,0"
N39,C39,"-37.689286,47.313857,4.57"
N40,C40,"-24.047125,31.700062,4.57"
N41,C41,"-30.411529,40.804765,4.57"
N42,C42,"-0.5892,39.268667,0"
N43,C43,"-23.006133,45.815333,0"
N44,C44,"-5.644667,27.900833,0"
N45,C45,"-12.052429,26.930929,0"
N46,C46,"-25.400111,40.155333,4.57"
N47,C47,"-25.1758,26.228,4.57"
N48,C48,"-4.1686,17.839,4.57"
N49,C49,"-50.405286,31.695,0"
N50,C50,"-18.318833,37.4765,0"
N51,C51,"-37.02975,52.694583,0"
N52,C52,"-19.665455,39.366,4.57"
N53,C53,"-2.027385,36.018692,4.57"
N54,C54,"-41.2031,45.916,4.57"
N55,C55,"-24.311286,20.173,4.57"
N56,C56,"-8.286091,37.625,4.57"
N57,C57,"-21.782167,26.059083,0"
N58,C58,"-13.0135,45.2969,0"
N59,C59,"-39.246462,43.972462,4.57"
N60,C60,"-33.740727,55.345909,0"
N61,C61,"-50.656615,14.759154,0"
N62,C62,"-45.749636,8.656091,0"
N63,C63,"-40.247636,9.624636,0"
N64,C64,"-43.2494,7.5681,0"
N65,C65,"-44.861846,11.400538,4.57"
N66,C66,"-7.263455,18.988,4.57"
N67,C67,"-6.3226,11.5366,0"
N68,C68,"-7.110833,43.922833,4.57"
N69,C69,"-10.119556,43.238,4.57"
N70,C70,"-15.609875,43.135,0"
N71,C71,"-28.9929,35.8551,4.57"
N72,C72,"-33.864182,43.985455,0"
N73,C73,"-5.986,48.978222,4.57"
N74,C74,"-5.691455,49.490727,0"
N75,C75,"-25.431,37.180625,0"
N76,C76,"-25.306222,26.165333,0"
N77,C77,"-2.815,25.908333,0"
N78,C78,"-13.2105,17.674,0"
N79,C79,"-45.97225,15.262,4.57"
