"-44.022,10.225,0.000","-44.022,10.287,0.000","-44.022,10.287,0.000","-43.869,10.287,0.000","-43.869,10.287,0.000","-42.131,10.287,0.000","-42.131,10.287,0.000","-41.978,10.287,0.000","-41.978,10.287,0.000","-41.978,10.225,0.000","-41.978,10.225,0.000","-40.863,10.225,0.000","-40.863,10.225,0.000","-40.457,10.225,0.000","-40.457,10.225,0.000","-38.758,10.225,0.000","-38.758,10.225,0.000","-38.317,10.225,0.000","-38.317,10.225,0.000","-33.347,10.225,0.000","-33.347,10.225,0.000","-29.152,10.225,0.000","-29.152,10.225,0.000","-27.028,10.225,0.000","-27.028,10.225,0.000","-26.237,10.225,0.000","-26.237,10.225,0.000","-24.282,10.225,0.000","-24.282,10.225,0.000","-24.282,10.287,0.000","-24.282,10.287,0.000","-24.129,10.287,0.000","-24.129,10.287,0.000","-22.601,10.287,0.000","-22.601,10.287,0.000","-22.448,10.287,0.000","-22.448,10.287,0.000","-22.448,10.225,0.000","-22.448,10.225,0.000","-20.892,10.225,0.000","-20.892,10.225,0.000","-20.892,12.042,0.000","-20.892,12.042,0.000","-22.848,12.042,0.000","-22.848,12.042,0.000","-25.838,12.042,0.000","-25.838,12.042,0.000","-31.532,12.042,0.000","-31.532,12.042,0.000","-34.812,12.042,0.000","-34.812,12.042,0.000","-36.629,12.042,0.000","-36.629,12.042,0.000","-36.841,12.042,0.000","-36.841,12.042,0.000","-38.658,12.042,0.000","-38.658,12.042,0.000","-38.658,11.980,0.000","-38.658,11.980,0.000","-38.811,11.980,0.000","-38.811,11.980,0.000","-40.339,11.980,0.000","-40.339,11.980,0.000","-40.492,11.980,0.000","-40.492,11.980,0.000","-40.492,12.042,0.000","-40.492,12.042,0.000","-43.177,12.042,0.000","-43.177,12.042,0.000","-43.416,12.042,0.000","-43.416,12.042,0.000","-46.832,12.042,0.000","-46.832,12.042,0.000","-47.015,12.042,0.000","-47.015,12.042,0.000","-51.183,12.042,0.000","-51.183,12.042,0.000","-51.183,10.225,0.000","-51.183,10.225,0.000","-47.388,10.225,0.000","-47.388,10.225,0.000","-46.797,10.225,0.000","-46.797,10.225,0.000","-44.022,10.225,0.000"
"-40.863,35.247,4.570","-40.457,35.247,4.570","-40.457,35.247,4.570","-40.457,34.841,4.570","-40.457,34.841,4.570","-40.863,34.841,4.570","-40.863,34.841,4.570","-40.863,35.247,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-40.863,28.617,4.570","-40.457,28.617,4.570","-40.457,28.617,4.570","-40.457,28.211,4.570","-40.457,28.211,4.570","-40.863,28.211,4.570","-40.863,28.211,4.570","-40.863,28.617,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-9.290,14.399,0.000","-9.290,12.718,0.000","-9.290,12.718,0.000","-8.852,12.718,0.000","-8.852,12.718,0.000","-7.518,12.718,0.000","-7.518,12.718,0.000","-7.518,14.068,0.000","-7.518,14.068,0.000","-6.518,14.068,0.000","-6.518,14.068,0.000","-6.518,15.902,0.000","-6.518,15.902,0.000","-7.284,15.902,0.000","-7.284,15.902,0.000","-7.496,15.902,0.000","-7.496,15.902,0.000","-7.496,18.003,0.000","-7.496,18.003,0.000","-7.553,18.003,0.000","-7.553,18.003,0.000","-7.553,18.407,0.000","-7.553,18.407,0.000","-7.553,18.813,0.000","-7.553,18.813,0.000","-7.112,18.813,0.000","-7.112,18.813,0.000","-7.112,19.892,0.000","-7.112,19.892,0.000","-7.518,19.892,0.000","-7.518,19.892,0.000","-7.518,21.508,0.000","-7.518,21.508,0.000","-7.518,23.422,0.000","-7.518,23.422,0.000","-7.518,26.002,0.000","-7.518,26.002,0.000","-7.518,27.582,0.000","-7.518,27.582,0.000","-9.352,27.582,0.000","-9.352,27.582,0.000","-9.352,25.978,0.000","-9.352,25.978,0.000","-9.352,23.562,0.000","-9.352,23.562,0.000","-9.352,19.548,0.000","-9.352,19.548,0.000","-9.352,14.552,0.000","-9.352,14.552,0.000","-9.290,14.552,0.000","-9.290,14.552,0.000","-9.290,14.399,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-31.509,49.860,0.000","-31.662,49.860,0.000","-31.662,49.860,0.000","-31.662,49.922,0.000","-31.662,49.922,0.000","-33.347,49.922,0.000","-33.347,49.922,0.000","-33.347,49.887,0.000","-33.347,49.887,0.000","-37.757,49.887,0.000","-37.757,49.887,0.000","-38.171,49.887,0.000","-38.171,49.887,0.000","-38.693,49.887,0.000","-38.693,49.887,0.000","-38.693,49.860,0.000","-38.693,49.860,0.000","-38.846,49.860,0.000","-38.846,49.860,0.000","-40.440,49.860,0.000","-40.440,49.860,0.000","-40.440,49.097,0.000","-40.440,49.097,0.000","-40.475,49.097,0.000","-40.475,49.097,0.000","-40.475,44.983,0.000","-40.475,44.983,0.000","-40.475,44.830,0.000","-40.475,44.830,0.000","-38.811,44.830,0.000","-38.811,44.830,0.000","-38.720,44.830,0.000","-38.720,44.830,0.000","-38.720,44.921,0.000","-38.720,44.921,0.000","-38.720,48.150,0.000","-38.720,48.150,0.000","-35.353,48.150,0.000","-35.353,48.150,0.000","-35.215,48.150,0.000","-35.215,48.150,0.000","-35.215,48.088,0.000","-35.215,48.088,0.000","-32.287,48.088,0.000","-32.287,48.088,0.000","-30.987,48.088,0.000","-30.987,48.088,0.000","-23.537,48.088,0.000","-23.537,48.088,0.000","-21.118,48.088,0.000","-21.118,48.088,0.000","-21.118,49.870,0.000","-21.118,49.870,0.000","-21.153,49.870,0.000","-21.153,49.870,0.000","-21.153,50.336,0.000","-21.153,50.336,0.000","-26.237,50.336,0.000","-26.237,50.336,0.000","-26.237,49.887,0.000","-26.237,49.887,0.000","-26.643,49.887,0.000","-26.643,49.887,0.000","-26.643,49.922,0.000","-26.643,49.922,0.000","-29.828,49.922,0.000","-29.828,49.922,0.000","-29.828,49.860,0.000","-29.828,49.860,0.000","-29.981,49.860,0.000","-29.981,49.860,0.000","-31.509,49.860,0.000",,,,,,,,,,,,
"-52.147,49.887,0.000","-52.147,47.768,0.000","-52.147,47.768,0.000","-48.767,47.768,0.000","-48.767,47.768,0.000","-48.767,44.802,0.000","-48.767,44.802,0.000","-47.203,44.802,0.000","-47.203,44.802,0.000","-47.203,49.167,0.000","-47.203,49.167,0.000","-46.797,49.167,0.000","-46.797,49.167,0.000","-46.797,49.132,0.000","-46.797,49.132,0.000","-43.242,49.132,0.000","-43.242,49.132,0.000","-40.863,49.132,0.000","-40.863,49.132,0.000","-40.863,50.403,0.000","-40.863,50.403,0.000","-40.475,50.403,0.000","-40.475,50.403,0.000","-40.475,53.202,0.000","-40.475,53.202,0.000","-42.662,53.202,0.000","-42.662,53.202,0.000","-45.232,53.202,0.000","-45.232,53.202,0.000","-48.432,53.202,0.000","-48.432,53.202,0.000","-52.147,53.202,0.000","-52.147,53.202,0.000","-52.147,50.293,0.000","-52.147,50.293,0.000","-51.697,50.293,0.000","-51.697,50.293,0.000","-51.697,49.887,0.000","-51.697,49.887,0.000","-52.147,49.887,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-46.797,50.293,0.000","-46.797,49.887,0.000","-46.797,49.887,0.000","-47.203,49.887,0.000","-47.203,49.887,0.000","-47.203,50.293,0.000","-47.203,50.293,0.000","-46.797,50.293,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-0.203,22.287,0.000","-0.203,25.328,0.000","-0.203,25.328,0.000","-1.898,25.328,0.000","-1.898,25.328,0.000","-1.898,24.478,0.000","-1.898,24.478,0.000","-3.732,24.478,0.000","-3.732,24.478,0.000","-3.732,23.619,0.000","-3.732,23.619,0.000","-3.732,23.422,0.000","-3.732,23.422,0.000","-4.172,23.422,0.000","-4.172,23.422,0.000","-4.782,23.422,0.000","-4.782,23.422,0.000","-4.782,21.508,0.000","-4.782,21.508,0.000","-4.782,19.892,0.000","-4.782,19.892,0.000","-4.782,17.898,0.000","-4.782,17.898,0.000","-4.782,15.902,0.000","-4.782,15.902,0.000","-6.518,15.902,0.000","-6.518,15.902,0.000","-6.518,14.068,0.000","-6.518,14.068,0.000","-4.968,14.068,0.000","-4.968,14.068,0.000","-2.452,14.068,0.000","-2.452,14.068,0.000","0.246,14.068,0.000","0.246,14.068,0.000","0.246,18.365,0.000","0.246,18.365,0.000","-0.203,18.365,0.000","-0.203,18.365,0.000","-0.203,21.233,0.000","-0.203,21.233,0.000","0.246,21.233,0.000","0.246,21.233,0.000","0.246,22.287,0.000","0.246,22.287,0.000","-0.203,22.287,0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-5.109,14.524,4.570","-5.262,14.524,4.570","-5.262,14.524,4.570","-5.262,14.586,4.570","-5.262,14.586,4.570","-7.758,14.586,4.570","-7.758,14.586,4.570","-10.288,14.586,4.570","-10.288,14.586,4.570","-12.852,14.586,4.570","-12.852,14.586,4.570","-15.398,14.586,4.570","-15.398,14.586,4.570","-15.398,14.811,4.570","-15.398,14.811,4.570","-15.872,14.811,4.570","-15.872,14.811,4.570","-15.872,14.586,4.570","-15.872,14.586,4.570","-16.768,14.586,4.570","-16.768,14.586,4.570","-16.768,12.718,4.570","-16.768,12.718,4.570","-11.612,12.718,4.570","-11.612,12.718,4.570","-8.358,12.718,4.570","-8.358,12.718,4.570","-4.838,12.718,4.570","-4.838,12.718,4.570","-3.512,12.718,4.570","-3.512,12.718,4.570","-2.402,12.718,4.570","-2.402,12.718,4.570","-2.402,14.551,4.570","-2.402,14.551,4.570","-3.463,14.551,4.570","-3.463,14.551,4.570","-3.463,14.524,4.570","-3.463,14.524,4.570","-3.616,14.524,4.570","-3.616,14.524,4.570","-5.109,14.524,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-1.748,24.746,4.570","-6.692,24.746,4.570","-6.692,24.746,4.570","-9.552,24.746,4.570","-9.552,24.746,4.570","-12.392,24.746,4.570","-12.392,24.746,4.570","-12.948,24.746,4.570","-12.948,24.746,4.570","-12.948,24.671,4.570","-12.948,24.671,4.570","-12.948,22.912,4.570","-12.948,22.912,4.570","-11.838,22.912,4.570","-11.838,22.912,4.570","-9.188,22.912,4.570","-9.188,22.912,4.570","-7.166,22.912,4.570","-7.166,22.912,4.570","-6.954,22.912,4.570","-6.954,22.912,4.570","-5.262,22.912,4.570","-5.262,22.912,4.570","-5.262,21.339,4.570","-5.262,21.339,4.570","-3.428,21.339,4.570","-3.428,21.339,4.570","-3.428,23.322,4.570","-3.428,23.322,4.570","-1.748,23.322,4.570","-1.748,23.322,4.570","-1.748,24.746,4.570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
