B1,"-51.183,10.982,0.0","-51.183,11.982,0.0","-51.183,11.982,2.0","-51.183,10.982,2.0","-51.183,10.982,0.0"
B2,"-47.247,31.229,4.57","-47.247,32.229,4.57","-47.247,32.229,6.57","-47.247,31.229,6.57","-47.247,31.229,4.57"
B3,"-8.637,27.582,0.0","-7.637,27.582,0.0","-7.637,27.582,2.0","-8.637,27.582,2.0","-8.637,27.582,0.0"
B4,"-6.518,14.187,0.0","-6.518,15.187,0.0","-6.518,15.187,2.0","-6.518,14.187,2.0","-6.518,14.187,0.0"
B5,"-20.892,10.327,0.0","-20.892,11.327,0.0","-20.892,11.327,2.0","-20.892,10.327,2.0","-20.892,10.327,0.0"
B6,"-19.773,25.745,0.0","-18.773,25.745,0.0","-18.773,25.745,2.0","-19.773,25.745,2.0","-19.773,25.745,0.0"
B7,"-6.572,24.746,4.57","-5.572,24.746,4.57","-5.572,24.746,6.57","-6.572,24.746,6.57","-6.572,24.746,4.57"
B8,"-3.732,24.746,4.57","-2.732,24.746,4.57","-2.732,24.746,6.57","-3.732,24.746,6.57","-3.732,24.746,4.57"
B9,"-40.475,52.142,0.0","-40.475,53.142,0.0","-40.475,53.142,2.0","-40.475,52.142,2.0","-40.475,52.142,0.0"
B10,"-39.878,55.421,0.0","-38.878,55.421,0.0","-38.878,55.421,2.0","-39.878,55.421,2.0","-39.878,55.421,0.0"
B11,"-48.288,44.802,0.0","-47.288,44.802,0.0","-47.288,44.802,2.0","-48.288,44.802,2.0","-48.288,44.802,0.0"
B12,"-16.768,13.866,4.57","-16.768,12.866,4.57","-16.768,12.866,6.57","-16.768,13.866,6.57","-16.768,13.866,4.57"
B13,"-48.628,10.225,0.0","-47.628,10.225,0.0","-47.628,10.225,2.0","-48.628,10.225,2.0","-48.628,10.225,0.0"
B14,"-12.978,44.982,4.57","-11.978,44.982,4.57","-11.978,44.982,6.57","-12.978,44.982,6.57","-12.978,44.982,4.57"
B15,"-14.258,35.312,4.57","-14.258,36.312,4.57","-14.258,36.312,6.57","-14.258,35.312,6.57","-14.258,35.312,4.57"
B16,"-3.193,34.842,0.0","-4.193,34.842,0.0","-4.193,34.842,2.0","-3.193,34.842,2.0","-3.193,34.842,0.0"
B17,"-4.038,49.976,0.0","-3.038,49.976,0.0","-3.038,49.976,2.0","-4.038,49.976,2.0","-4.038,49.976,0.0"
B18,"-33.488,29.659,4.57","-33.488,30.659,4.57","-33.488,30.659,6.57","-33.488,29.659,6.57","-33.488,29.659,4.57"
B19,"-32.263,18.286,4.57","-33.263,18.286,4.57","-33.263,18.286,6.57","-32.263,18.286,6.57","-32.263,18.286,4.57"
B20,"-21.118,48.207,0.0","-21.118,49.207,0.0","-21.118,49.207,2.0","-21.118,48.207,2.0","-21.118,48.207,0.0"
B21,"-19.188,49.976,0.0","-18.188,49.976,0.0","-18.188,49.976,2.0","-19.188,49.976,2.0","-19.188,49.976,0.0"
B22,"-40.492,21.402,0.0","-40.492,22.402,0.0","-40.492,22.402,2.0","-40.492,21.402,2.0","-40.492,21.402,0.0"
B23,"-27.122,45.697,4.57","-27.122,46.697,4.57","-27.122,46.697,6.57","-27.122,45.697,6.57","-27.122,45.697,4.57"
B24,"-28.208,44.982,4.57","-27.208,44.982,4.57","-27.208,44.982,6.57","-28.208,44.982,6.57","-28.208,44.982,4.57"
B25,"-27.188,38.922,4.57","-28.188,38.922,4.57","-28.188,38.922,6.57","-27.188,38.922,6.57","-27.188,38.922,4.57"
B26,"-38.778,36.439,0.0","-39.778,36.439,0.0","-39.778,36.439,2.0","-38.778,36.439,2.0","-38.778,36.439,0.0"
B27,"-40.475,40.987,0.0","-40.475,41.987,0.0","-40.475,41.987,2.0","-40.475,40.987,2.0","-40.475,40.987,0.0"
B28,"-32.263,34.796,4.57","-33.263,34.796,4.57","-33.263,34.796,6.57","-32.263,34.796,6.57","-32.263,34.796,4.57"
B29,"-30.413,12.042,0.0","-31.413,12.042,0.0","-31.413,12.042,2.0","-30.413,12.042,2.0","-30.413,12.042,0.0"
B30,"-31.548,43.163,4.57","-31.548,44.163,4.57","-31.548,44.163,6.57","-31.548,43.163,6.57","-31.548,43.163,4.57"
