N1,C1,"-8.052733,30.98757,0","T1,T2,T3"
N2,C2,"-33.151512,31.68331,0","T10,T11,T12,T13,T14,T15,T4,T5,T6,T7,T8,T9"
N3,C3,"-40.878929,24.653619,4.57",T16
N4,C4,"-36.12081,11.009619,0","T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28"
N5,C5,"-20.182727,35.317,9.25",
N6,C6,"-38.358625,31.718344,4.57","T29,T30,T31"
N7,C7,"-13.218816,45.343605,4.57","T32,T33"
N8,C8,"-8.011654,18.634846,0","T34,T35,T36,T37,T38,T39,T40,T41,T42,T43"
N9,C9,"-34.381143,16.815643,4.57","T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54"
N10,C10,"-32.874889,48.775556,0","T55,T56,T57,T58,T59,T60,T61"
N11,C11,"-10.367429,41.196086,0","T62,T63,T64,T65"
N12,C12,"-29.201833,39.5815,0","T66,T67,T68,T69,T70,T71,T72,T73,T74"
N13,C13,"-46.988,49.9023,0","T75,T76,T77,T78,T79,T80,T81"
N14,C14,"-2.754696,20.201783,0","T82,T83,T84,T85,T86,T87"
N15,C15,"-18.58013,16.250043,0","T88,T89,T90,T91,T92,T93,T94,T95"
N16,C16,"-8.870143,14.058571,4.57","T100,T101,T102,T103,T104,T96,T97,T98,T99"
N17,C17,"-7.718875,23.449688,4.57","T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115"
N18,C18,"-33.65305,4.5675,0","T116,T117,T118"
N19,C19,"-16.913182,33.221182,4.57","T119,T120"
N20,C20,"-38.923,51.940632,0","T121,T122,T123,T124,T125"
N21,C21,"-46.027696,42.53887,0","T126,T127"
N22,C22,"-29.8276,23.890267,0","T128,T129,T130,T131,T132,T133,T134,T135"
N23,C23,"-18.96581,16.334762,4.57","T136,T137,T138,T139,T140,T141"
N24,C24,"-49.61719,6.209429,0","T142,T143"
N25,C25,"-13.247158,40.047,4.57","T144,T145,T146"
N26,C26,"-32.295938,45.570625,4.57","T147,T148,T149,T150,T151,T152"
N27,C27,"-3.646385,43.071308,0","T153,T154,T155,T156,T157,T158,T159"
N28,C28,"-32.497727,25.710364,4.57","T160,T161,T162,T163"
N29,C29,"-19.432133,47.098467,0","T164,T165,T166,T167,T168,T169"
N30,C30,"-45.633222,20.826556,0",T170
N31,C31,"-39.475875,22.02,0","T171,T172,T173,T174,T175"
N32,C32,"-23.700182,45.648909,4.57","T176,T177,T178,T179,T180"
N33,C33,"-45.267125,44.341,4.57","T181,T182"
N34,C34,"-5.44175,42.380188,4.57","T183,T184,T185"
N35,C35,"-28.042235,41.716765,4.57","T186,T187"
N36,C36,"-39.35925,39.824313,0","T188,T189,T190,T191"
N37,C37,"-32.299824,38.999941,4.57","T192,T193,T194,T195"
N38,C38,"-27.755333,16.959667,0","T196,T197,T198,T199"
N39,C39,"-37.689286,47.313857,4.57","T200,T201,T202"
N40,C40,"-24.047125,31.700062,4.57",
N41,C41,"-30.411529,40.804765,4.57","T203,T204"
N42,C42,"-0.5892,39.268667,0",
N43,C43,"-23.006133,45.815333,0",T205
N44,C44,"-5.644667,27.900833,0",T206
N45,C45,"-12.052429,26.930929,0",T207
N46,C46,"-25.400111,40.155333,4.57",T208
N47,C47,"-25.1758,26.228,4.57","T209,T210,T211,T212,T213"
N48,C48,"-4.1686,17.839,4.57","T214,T215,T216,T217,T218,T219"
N49,C49,"-50.405286,31.695,0","T220,T221"
N50,C50,"-18.318833,37.4765,0","T222,T223"
N51,C51,"-37.02975,52.694583,0","T224,T462,T468"
N52,C52,"-19.665455,39.366,4.57","T225,T226,T227,T228"
N53,C53,"-2.027385,36.018692,4.57",T229
N54,C54,"-41.2031,45.916,4.57","T230,T231,T232,T233"
N55,C55,"-24.311286,20.173,4.57","T234,T235,T236"
N56,C56,"-8.286091,37.625,4.57",T237
N57,C57,"-21.782167,26.059083,0","T238,T239"
N58,C58,"-13.0135,45.2969,0",T240
N59,C59,"-39.246462,43.972462,4.57",T241
N60,C60,"-33.740727,55.345909,0",T242
N61,C61,"-50.656615,14.759154,0",T243
N62,C62,"-45.749636,8.656091,0",T244
N63,C63,"-40.247636,9.624636,0",T245
N64,C64,"-43.2494,7.5681,0","T246,T247"
N65,C65,"-44.861846,11.400538,4.57",T248
N66,C66,"-7.263455,18.988,4.57",T249
N67,C67,"-6.3226,11.5366,0",T250
N68,C68,"-7.110833,43.922833,4.57",T251
N69,C69,"-10.119556,43.238,4.57","T252,T253"
N70,C70,"-15.609875,43.135,0","T254,T255,T256"
N71,C71,"-28.9929,35.8551,4.57",T257
N72,C72,"-33.864182,43.985455,0",T258
